Ave Lat	Max Lat	Min Lat	Cycle
64	64	64	64
64	64	64	65
64	64	64	66
64	64	64	68
64	64	64	76
75.04	79	64	80
76.1	79	65	81
75.39	79	65	82
78.6	84	67	84
80.14	84	67	85
81.58	84	64	86
81.1	84	64	89
82.21	94	64	96
88.48	94	76	97
87.42	94	69	97
88.24	94	67	99
92.27	99	81	100
92	99	78	101
93.59	99	64	103
97.9	104	74	104
100.17	104	83	107
98.49	104	69	111
99.6	109	84	112
100.53	109	76	113
99.65	108	80	114
102.19	113	91	116
103.78	114	82	117
104.96	114	84	118
107.25	119	78	120
111.61	119	88	121
109.69	124	77	124
116.67	124	89	127
112.2	124	94	128
113.59	124	96	129
111.98	124	85	130
113.31	123	93	131
115.24	127	94	132
116.89	128	98	134
117.36	128	76	136
124.01	134	101	137
123.1	133	101	139
125.33	139	90	142
127.06	139	98	144
125.61	139	94	145
123.66	136	90	146
124.56	138	98	147
127.85	140	109	148
127.19	141	103	149
130.42	143	104	151
133.15	148	86	152
134.5	147	107	155
137.33	154	98	157
139.86	153	117	160
137.58	154	106	161
136.15	151	111	161
135.89	151	99	163
140.05	155	115	164
140.02	156	119	165
139.98	157	115	167
145.91	163	101	168
145.87	160	115	170
148.35	167	108	172
151.19	168	124	176
149.47	164	122	176
148.67	164	109	177
146.94	166	113	178
151	165	126	180
151.96	169	130	181
154.13	170	116	182
154.64	176	116	184
159.11	175	132	185
157.3	178	118	188
163.99	182	139	191
161.66	182	136	192
161.11	179	123	193
160.19	176	126	194
159.93	181	123	196
163.24	180	143	196
165.48	182	130	198
165.78	190	128	200
172.18	188	145	201
170.07	188	141	203
173.15	194	127	206
174.17	197	140	208
173.07	192	127	209
171.67	191	138	210
171.79	196	126	211
174.97	192	153	212
176.57	195	143	213
178.94	198	153	215
180.97	205	143	216
181.58	201	146	219
186.06	205	142	221
187.18	209	155	224
183.76	207	137	225
184.29	200	148	225
183.96	207	140	227
186.34	207	159	228
188.98	210	167	229
188.83	210	150	231
194.08	217	155	232
193.35	215	159	234
196.05	218	155	236
199.65	224	164	240
196.06	220	154	240
196.5	216	151	241
194.74	221	154	242
198.48	220	166	244
199.32	217	172	245
202.31	225	159	246
203.19	231	169	248
207.07	229	174	249
205.22	233	166	252
213.36	236	182	256
207.61	237	163	256
208.84	235	161	257
207.2	228	168	258
208.89	231	170	260
210.72	233	183	261
213.59	239	172	262
214.54	246	181	264
220.3	243	185	265
217.45	245	180	267
222.48	248	183	270
222.2	249	180	272
220.72	248	168	273
220.26	243	187	274
219.61	244	180	275
222.6	247	184	276
224.56	252	183	278
226.64	255	190	279
229.01	257	189	281
229.37	255	192	283
234.57	260	195	285
236.12	263	195	288
232.02	262	176	289
231.36	257	192	289
232.24	257	193	291
235.07	262	199	292
236.17	263	201	293
236.98	265	196	295
242.18	271	203	296
241.76	268	209	298
243.68	273	204	300
248.44	277	216	304
244.96	277	204	304
243.35	271	190	305
243.04	270	200	306
245.76	276	210	308
247.5	274	215	309
249.26	278	211	310
251.51	286	204	312
255.23	279	220	313
254.71	288	215	316
260.5	289	226	320
256.28	285	215	320
255.96	290	205	321
254.42	283	215	322
257	286	225	324
258.98	291	220	325
260.6	291	221	326
261.53	300	219	328
269.21	297	234	329
264.73	299	228	331
271.13	302	237	335
269.65	298	227	336
268.95	298	217	337
266.2	297	225	338
268.3	300	228	339
269.73	306	221	340
270.82	306	236	342
274.13	308	232	343
277.84	310	237	345
278.83	309	241	347
281.98	317	250	349
284.77	313	251	352
279.47	312	228	353
278.05	312	237	353
280.37	314	236	355
282.48	319	244	356
283.79	312	236	357
283.89	313	248	359
290.17	324	242	360
289.35	319	252	362
291.55	331	251	364
296.5	327	262	368
292.67	327	242	368
291.23	324	242	369
291.23	319	246	371
294.11	329	248	372
294.85	322	250	373
296.76	326	258	374
300.62	339	249	376
302.15	332	263	378
302.87	343	264	380
308.69	339	273	384
303.11	335	254	384
304.86	339	250	385
302.56	330	257	386
306.18	340	262	388
306.57	336	259	389
308.21	336	273	390
310.66	353	262	392
316.97	348	275	393
311.66	354	269	395
320.37	355	278	399
316.83	347	266	400
317.57	351	245	401
315.04	341	270	402
316.83	347	271	403
318.17	350	270	404
320.26	351	285	406
321.5	358	276	407
326.52	367	283	409
325.97	361	282	411
330.66	370	282	414
330.91	361	274	416
329.15	365	259	417
326.87	363	282	418
328.97	359	282	419
329.75	365	282	420
332.15	366	285	421
334.55	371	297	423
337.27	378	290	424
335.72	374	297	426
340.76	385	297	429
344.04	379	297	432
342.06	379	288	432
340.35	370	260	433
338.56	374	297	435
343.09	376	295	436
343.06	379	300	437
344.45	378	308	438
348.41	391	304	440
349.42	385	311	442
351.27	398	307	444
357.46	390	312	448
352.06	393	299	448
353.55	384	275	449
350.14	388	310	450
353.67	387	306	452
355.34	389	315	453
356.61	392	315	454
358.28	403	317	456
364.75	397	326	457
359.74	400	313	459
368.66	413	327	463
365.37	403	314	464
367.12	408	287	465
362.31	392	324	466
365.28	399	308	467
366.03	403	320	468
367.75	405	329	470
370.14	410	328	471
374.75	417	328	473
373.74	414	328	475
379.1	421	334	478
378.51	417	329	480
378.68	423	302	481
374.5	413	333	482
377.29	412	317	483
378.4	417	334	484
379.22	420	334	485
381.6	425	340	487
386.58	432	341	488
383.33	424	334	490
389.38	429	340	493
392.76	429	350	496
391	437	337	497
386.99	427	313	497
386.3	427	326	499
390.57	426	346	500
391.53	430	349	501
391.49	433	352	503
397.25	443	350	504
396.95	434	340	506
399.22	444	354	508
405.36	442	363	512
400.86	451	351	512
401.07	442	325	513
397.52	431	341	514
401.48	436	340	516
403.56	439	364	517
404.04	448	367	518
407.12	452	358	520
411.02	450	352	521
408.81	453	368	524
416.87	457	374	527
413.07	449	344	528
415.01	458	334	529
410.57	443	367	530
411.53	447	347	531
414.24	450	373	532
416.62	459	377	534
418.5	461	373	536
422.89	464	367	537
422.38	464	370	539
426.04	465	380	542
426.23	463	359	544
426.78	470	349	545
421.62	468	376	546
424.99	462	361	547
426.1	463	377	548
428.36	466	382	549
430.53	475	395	551
434.21	477	384	552
431.43	475	380	555
438.98	478	388	557
439.38	480	390	560
438.23	480	361	561
435.05	482	389	561
435.5	476	373	563
438.64	477	387	564
440.57	473	397	565
441.11	490	404	567
446.01	490	391	568
444.83	488	395	570
448.84	492	403	572
452.03	493	412	576
449.48	493	382	576
448.69	495	376	577
446.04	490	386	578
449.32	488	388	580
451.84	491	411	581
453.42	503	417	582
455.72	496	402	584
460.39	504	404	585
457.06	502	418	588
464.65	508	417	591
461.2	500	393	592
462.19	509	386	593
458.67	502	400	594
459.49	497	392	596
462.9	502	423	596
464.44	502	424	598
467.73	518	409	600
471.99	518	419	601
469.55	514	420	603
474.93	520	431	606
472.98	514	397	608
475.72	519	399	609
469.65	518	415	610
472.46	514	405	611
474.29	513	421	612
477.09	513	441	613
479.07	532	426	615
480.24	530	422	616
482.36	526	435	619
487.08	526	438	621
486.65	529	432	624
486.81	534	406	625
482.13	529	425	625
483.25	526	419	627
485.99	528	425	628
489.96	528	447	629
488.06	533	439	631
492.63	543	436	632
494.17	539	442	634
497.54	541	447	636
498.31	544	451	640
498.08	549	416	640
495.98	543	428	641
494.22	540	430	642
496.56	539	434	644
501.73	543	450	645
499.88	543	454	646
503.76	547	443	648
506.86	556	457	649
506.61	553	461	652
511.38	559	450	656
508.34	549	430	656
511.21	564	433	657
504.67	553	444	658
508.14	549	441	660
512.5	558	459	661
511.6	550	448	662
516.3	559	457	664
519.18	563	456	665
517.52	566	456	667
522.22	574	463	670
519.85	561	444	672
524.33	571	443	673
517.19	566	452	674
520.77	565	453	675
522.4	567	454	676
523.39	563	456	678
527.03	574	478	679
526.87	575	470	681
531.01	574	470	683
534.68	579	477	685
533.81	575	464	688
535.23	579	457	689
529.6	579	466	689
532.57	577	468	691
533.16	579	469	692
537.94	578	469	693
535.84	587	477	695
540.05	587	484	696
542.37	588	483	698
545.07	592	488	700
546.6	592	488	704
546.62	591	472	704
543.41	592	474	705
542.31	590	479	706
543.71	594	475	708
550.46	593	472	709
548.13	600	492	710
550.94	600	491	712
554.69	603	492	713
555.44	605	497	716
560.02	601	502	720
556.05	605	484	720
558.76	606	486	721
552.68	604	492	722
556.22	600	490	724
561.53	609	515	725
559.19	608	483	726
563.37	615	504	728
567.82	615	512	729
565.62	620	505	731
570.94	617	512	735
567.95	619	499	736
572.53	621	483	737
565.55	615	507	738
569.88	619	505	739
570.44	623	502	740
571.16	613	498	742
575.36	627	507	743
575.53	629	520	745
580.24	635	515	747
581.98	630	523	749
582.71	628	512	752
582.93	634	498	753
578.23	630	520	753
579.86	629	520	755
581.35	638	514	756
586.56	627	513	757
583.87	640	531	759
590.03	644	520	760
588.73	639	526	762
593.64	649	536	764
595.73	643	537	768
595.09	649	517	768
591.68	644	505	769
590.57	634	533	771
591.65	653	523	772
597.72	641	524	773
597.09	653	543	774
600.04	659	530	776
602	650	537	778
603.53	659	545	780
608.36	652	551	784
603.72	647	531	784
607.29	664	518	785
600.92	648	544	786
603.63	652	538	788
609.72	667	562	789
607.95	652	537	790
611.86	668	540	792
616.08	672	565	793
613.99	672	550	795
619.37	669	565	799
617.19	661	546	800
619.81	679	529	801
613.49	673	563	802
616.59	663	550	803
618.74	677	550	804
620.32	666	548	806
623.7	682	552	807
625.52	687	574	809
628.73	683	558	811
630.3	684	568	814
630.28	679	550	816
631.32	693	531	817
626.72	684	576	818
627.75	676	563	819
629.1	691	562	820
632.76	681	561	821
635.26	696	587	823
638.59	702	558	824
636.62	694	564	826
641.93	698	581	829
643.6	692	558	832
644.21	708	576	832
638.5	695	535	833
638.08	691	571	835
641.02	703	575	836
646.48	695	575	837
645.49	710	579	838
650.28	717	573	840
649.5	707	572	842
652.16	713	588	844
657.04	705	600	848
652.87	722	567	848
653.99	709	550	849
648.57	706	586	850
652.94	703	587	852
659.08	711	608	853
657.29	725	587	854
660.73	712	581	856
663.26	724	610	857
660.51	721	584	859
668.11	709	615	863
666.03	714	581	864
667.67	731	564	865
661.42	721	604	866
664.24	718	592	867
666.86	725	602	868
667.9	725	600	870
672.83	737	592	871
673.84	737	620	873
675.18	734	597	875
678.19	722	611	878
678.49	727	591	880
678.92	742	570	881
675.44	739	614	882
675.75	723	605	883
679.24	739	616	884
679.01	734	613	885
684.66	743	636	887
686.44	749	601	888
683.73	747	605	890
690.06	741	625	893
691.04	741	599	896
691.71	755	605	897
686.75	749	585	897
686.48	751	598	899
690.6	754	621	900
693.97	749	625	901
692.99	754	625	903
696.95	763	611	904
697.29	758	615	906
700.07	754	635	908
702.75	754	646	912
701.3	766	612	912
702.19	754	599	913
697.15	765	610	914
701.7	757	624	916
706.21	768	640	917
704.04	769	640	918
709.28	763	622	920
710.73	772	630	921
708.29	764	650	924
715.67	762	653	927
714.07	768	620	928
714.65	779	613	929
708.23	775	640	930
712.26	768	623	931
716.84	783	662	932
715.56	776	655	934
719.85	784	637	936
723.02	787	670	937
722.52	786	640	939
724.89	775	663	942
725.86	783	637	944
726.75	787	627	945
721.89	787	663	946
724.17	783	638	947
728.35	792	665	948
726.94	789	662	949
731.81	798	682	951
733.75	802	651	952
732.7	800	634	955
738.27	789	678	957
737.09	796	650	960
738.95	801	638	961
733.99	796	677	961
734.45	795	642	963
739.2	807	669	964
742.94	801	682	965
740.65	809	675	967
745.42	813	666	968
745.37	814	642	970
747.66	806	688	972
750.27	811	689	976
749.15	816	648	976
748.39	809	652	977
743.82	809	656	978
750.33	807	683	980
755.02	820	695	981
752.85	823	684	982
755.37	808	677	984
760.66	828	656	985
756.52	821	693	988
762.22	817	700	991
761.24	826	656	992
762.57	831	666	993
757.53	820	689	994
759.2	820	671	996
765.32	826	707	996
763.82	825	693	998
767.95	830	686	1000
772.99	840	717	1001
769.21	837	671	1003
773.05	832	714	1006
771.72	841	665	1008
775.05	838	679	1009
771.33	839	703	1010
771.31	825	686	1011
775.18	839	715	1012
777.28	840	707	1013
780.45	844	716	1015
778.61	848	699	1016
783.02	852	681	1019
787	845	728	1021
783.49	854	703	1024
786.7	849	678	1025
783.17	851	717	1025
783.25	846	700	1027
787.25	850	725	1028
790.46	849	728	1029
788.81	859	721	1031
791.97	863	703	1032
794.61	867	696	1034
796.9	861	743	1036
796.8	866	729	1040
797.74	861	688	1040
795.84	854	701	1041
793.03	861	704	1042
799.04	861	739	1044
803.81	864	741	1045
799.68	874	735	1046
802.1	863	716	1048
808.74	880	711	1049
804.75	867	743	1052
809.94	876	742	1056
808.49	860	703	1056
810.55	876	713	1057
804.77	874	742	1058
808.43	873	718	1060
814.57	876	755	1061
811.75	876	740	1062
814.2	889	729	1064
820.52	891	758	1065
815.86	892	725	1067
820.53	885	756	1070
820.27	891	717	1072
822.63	890	726	1073
820.35	883	759	1074
819.33	882	733	1075
823.67	891	766	1076
824.23	884	752	1078
828.19	897	769	1079
825.07	904	738	1081
830.66	907	740	1083
833.82	891	773	1085
831.66	901	753	1088
834.23	900	728	1089
830.27	895	771	1089
832.52	892	745	1091
835.03	905	775	1092
839.52	898	775	1093
836.62	911	767	1095
839.15	919	751	1096
841.59	921	748	1098
842.77	906	780	1100
846.12	915	783	1104
845.41	907	743	1104
843.13	902	749	1105
841.18	902	757	1106
847.33	917	782	1108
851.51	911	786	1109
849.35	920	782	1110
848.8	914	766	1112
855.38	936	762	1113
852.21	916	794	1116
858.72	927	791	1120
856.26	910	756	1120
856.88	921	757	1121
850.52	917	770	1122
858.2	920	791	1124
863.43	925	805	1125
858.63	921	786	1126
862.67	934	781	1128
867.95	943	794	1129
862.53	948	775	1131
868.68	933	806	1135
868.04	942	768	1136
870.43	935	771	1137
866.35	925	803	1138
869.1	935	784	1139
871.25	936	804	1140
871.98	936	795	1142
876.43	947	798	1143
874.9	950	795	1145
878.05	962	785	1147
880.39	940	818	1149
881.13	957	807	1152
881.51	950	781	1153
877.46	937	813	1153
881.15	940	793	1155
882.79	950	816	1156
887.77	951	824	1157
885.36	961	810	1159
888.93	958	809	1160
888.03	973	796	1162
890.21	955	827	1164
894.44	968	833	1168
892.91	964	789	1168
891.4	951	790	1169
890.09	952	806	1171
896.75	964	829	1172
899.07	963	831	1173
897.13	974	820	1174
899.01	973	823	1176
902	986	811	1178
899.59	970	833	1180
906.81	975	836	1184
903.69	960	802	1184
904.56	972	803	1185
899.95	964	821	1186
907.17	965	841	1188
913.04	976	831	1189
907.09	962	831	1190
910.89	985	832	1192
915.74	988	849	1193
909.94	1000	825	1195
916.5	981	840	1199
917.03	984	814	1200
917.21	984	808	1201
914.16	979	847	1202
918.02	974	833	1203
919.82	991	845	1204
920.89	988	839	1206
923.29	999	823	1207
924.16	997	857	1209
924.92	1009	840	1211
926.76	992	860	1214
