Ave Lat	Max Lat	Min Lat	Cycle
50.42	64	44	64
63.09	64	44	65
63.47	64	44	66
63.24	64	44	67
64.13	68	44	69
64.58	68	53	71
64.8	68	44	72
65.58	72	48	75
64.77	74	48	78
67.69	79	59	80
71.81	79	47	81
73.53	79	47	82
71.27	83	48	84
73.08	83	54	85
72.69	83	49	87
72.44	87	64	88
73.52	87	44	90
73.65	90	44	92
71.41	87	44	95
79.98	94	58	96
79.32	94	44	97
79.96	94	61	99
80.08	94	49	100
81.6	97	64	101
79.59	97	51	103
80.3	93	63	104
81.17	100	52	107
80.31	97	44	108
80.3	101	44	111
85.51	106	44	112
89.87	109	47	113
86.91	109	44	114
88.09	107	61	116
88.31	113	64	117
88.85	112	53	119
90.03	107	64	120
88.96	110	64	122
91.62	108	53	124
87.41	111	51	127
93.46	118	64	128
95.27	123	64	129
97.3	120	45	130
96.34	121	64	132
97.35	125	64	133
97.9	124	73	135
97.71	119	62	136
97.92	125	65	138
98.22	126	64	140
92.82	123	64	142
98.8	132	64	144
104.66	138	64	145
101.67	131	63	146
103.03	134	68	148
103.65	136	69	149
105.15	131	64	150
107.01	138	64	152
104.78	137	58	153
104.87	133	64	155
104.33	134	64	158
102.35	138	64	160
111.52	147	64	161
110.64	145	70	162
112.43	142	65	163
112.93	152	71	165
112.32	150	73	166
115.86	144	78	167
114.16	150	64	169
111.66	143	63	171
111.58	148	73	173
111.84	148	68	176
120.37	152	66	177
120.34	157	64	178
120.08	161	64	179
117.54	166	71	180
121.98	151	64	182
118.46	158	68	183
121.44	157	73	185
120.02	158	64	187
121.88	157	81	189
119.4	154	73	191
128.18	167	87	192
127.88	164	64	193
125.11	176	64	195
127.55	169	76	196
131.75	172	85	197
127.12	167	76	199
129.17	167	64	200
130	179	68	202
130.74	173	71	204
124.17	167	64	206
128.87	179	64	208
137.31	181	72	209
135.02	182	82	210
137.76	183	80	212
135.78	183	68	213
136.03	168	91	215
137.52	174	64	216
136.81	178	64	218
140.35	184	84	220
134.13	176	77	222
138.58	182	74	224
146.46	194	100	225
141.81	192	95	226
140.26	187	78	227
143.9	188	64	229
143.62	188	64	230
145.8	195	75	231
145.65	194	77	233
144.34	183	69	235
142.02	188	77	237
142.16	191	76	239
151.67	201	73	241
150.6	199	76	242
150.56	199	68	243
152.27	213	84	244
155.41	196	76	246
150.65	196	75	247
151.29	208	90	249
151.16	206	85	251
153.41	203	79	253
153.2	204	91	255
162.77	218	109	256
161.74	210	91	257
156.58	209	82	259
159.96	213	103	260
162.56	211	91	261
157.97	210	77	263
160.12	221	89	264
162.93	212	87	266
160.82	213	89	268
157.55	219	78	270
162.07	224	99	272
172.66	233	104	273
169.03	223	88	274
166.84	225	91	276
166.76	214	101	277
168.01	226	85	278
170.21	215	101	280
167.28	230	88	282
168.66	228	85	284
167.54	220	94	286
165.5	231	93	288
177.45	246	104	289
174.58	229	99	290
175.36	235	105	291
175.85	220	112	293
177.15	225	115	294
181.19	234	93	296
177.64	236	78	298
178	229	89	299
173.05	217	107	302
170.94	234	84	304
182.86	253	110	305
182.68	235	106	306
186.43	244	123	307
188.37	246	115	309
184.07	235	106	310
187.15	238	106	311
184.56	251	93	313
183.45	234	124	315
181.36	236	103	317
185.3	247	88	319
193	258	121	320
191.41	242	97	321
188.14	244	115	323
187.88	253	106	324
194.45	244	128	325
194.88	248	119	326
194.06	266	117	328
187.88	243	78	330
197.48	253	107	332
193.41	267	101	335
195.73	266	115	336
195.22	262	83	337
200.96	253	130	338
199.4	262	119	340
194.73	247	114	341
202.64	273	131	342
204.67	264	123	344
197.8	273	115	346
200.53	259	87	348
195.76	256	107	350
200.12	267	113	352
209.89	269	103	353
201	265	97	354
204.25	263	104	355
210.66	279	110	356
207.97	268	120	358
212.26	272	133	359
207.84	290	130	361
206.4	271	124	363
206.6	258	66	366
208.06	280	64	368
217.96	277	114	369
212.64	279	106	370
214.24	279	119	371
221.12	285	121	373
218.8	300	134	374
215.83	272	120	375
216.49	284	125	377
215.36	281	143	379
211.25	276	116	381
215.97	295	119	384
222.66	289	128	385
224.23	285	94	386
221.74	308	140	387
222.71	295	139	388
222.7	299	142	390
225.22	295	135	391
226.97	283	130	392
226.76	296	136	394
222.74	287	79	396
222.06	310	125	398
228.24	284	132	400
225.16	302	98	401
233.79	322	150	402
224.62	306	118	404
235.42	293	160	405
232.08	296	163	406
235.56	302	136	408
228.86	303	154	410
235.57	302	149	412
226.59	318	121	414
231.1	323	95	416
238.22	317	152	417
243.51	312	104	418
235.86	307	152	419
241.88	311	140	421
242.46	341	148	422
242.97	306	160	424
235.97	307	115	425
238.7	321	164	427
240.32	308	105	430
245.66	339	156	432
247.43	322	145	433
246.32	315	136	434
246.21	347	158	435
251.45	328	147	436
247.22	329	122	438
250.71	308	158	439
246.99	322	138	441
246.32	313	173	443
251.09	323	164	445
246.51	353	121	448
258.45	324	158	448
254.1	322	142	450
253.44	322	176	451
255.38	325	175	452
257.64	344	157	453
255.13	329	127	455
256.04	346	173	457
251.26	326	147	459
253.55	333	129	460
258.03	356	134	463
260.96	330	146	464
263.64	330	130	465
265.07	372	176	467
265.22	347	179	468
267.06	350	167	469
264.57	325	171	471
268.82	340	176	472
265.85	345	154	474
260.71	339	142	476
258.72	371	138	479
273.91	335	159	480
265.15	341	144	481
275.42	360	166	482
267.22	349	180	484
274.09	348	149	485
271.88	339	179	486
272.01	342	176	488
270.57	349	171	490
275.24	343	186	492
271.8	364	151	494
271.41	351	131	496
286.54	337	205	497
277.16	386	156	498
275.71	365	171	499
281.88	348	179	500
277.49	362	192	502
284.33	342	194	503
280.05	363	170	505
282.7	362	199	507
279.67	381	163	509
277.66	394	161	512
286.36	366	139	513
287.98	363	167	514
285.49	359	186	515
286.15	366	206	516
285.28	367	149	518
291.77	358	203	519
286.16	371	179	521
291.02	372	169	523
281.33	361	175	525
286.99	373	172	528
296.96	378	152	529
296.72	392	159	530
300.31	378	201	531
296.46	377	201	532
302.22	373	163	533
295.42	378	206	535
296.31	378	210	536
287.27	376	177	538
297.19	377	170	540
294.17	396	152	543
299.15	375	155	544
299.21	373	159	545
309.89	387	210	546
301.77	387	174	548
308.91	386	174	549
305.38	381	200	551
307.65	377	208	552
294.77	390	173	554
305.77	404	189	556
301.72	394	173	558
304.13	411	167	560
313.27	377	213	561
308.25	401	174	562
313.62	396	219	563
311.7	376	186	565
310.51	395	205	566
315.05	396	216	567
306.17	387	197	569
316.71	394	242	571
304.24	390	170	573
315.95	405	198	576
319.27	384	175	576
322.63	398	172	577
315.96	410	184	579
321.72	402	219	580
316.2	417	174	581
317.59	406	178	583
322.37	400	212	584
315.79	405	204	587
325.09	402	168	589
315.28	394	181	591
327.43	399	179	592
321.16	428	166	593
329.53	422	226	595
327.91	402	186	596
