Ave Lat	Max Lat	Min Lat	Cycle
83.08	144	44	340
82.54	155	44	605
89.82	156	44	852
82.21	144	44	1101
84.9	158	44	1340
86.29	155	44	1552
84.95	165	44	1820
90.64	163	44	2070
83.55	157	44	2338
85.41	152	44	2576
87.21	159	44	2809
90.98	160	44	3055
88.52	149	44	3321
86.99	154	44	3574
82.2	150	44	3868
86.65	151	44	4102
86.01	155	44	4364
81.98	153	44	4609
86.44	161	44	4883
91.69	175	44	5075
92.14	159	44	5332
87.47	152	44	5579
86.27	148	44	5830
87.44	146	44	6046
87.87	148	44	6312
84.34	159	44	6549
85.06	153	44	6793
91.87	173	44	7055
93.49	159	44	7298
92.25	163	44	7579
85.62	147	44	7835
88.29	174	44	8097
87.72	168	44	8317
89.91	172	44	8560
86.24	168	44	8828
83.13	148	44	9117
86.97	167	44	9369
85.5	144	44	9614
87.4	169	44	9880
