Ave Lat	Max Lat	Min Lat	Cycle
64	64	64	72
65.18	78	64	83
70.9	84	64	88
73.15	84	64	95
72.63	98	64	101
74.69	104	64	105
78.48	104	64	109
81.17	104	64	114
77.61	104	64	119
80.13	117	64	123
85.09	124	64	127
85.54	124	64	131
74.88	113	64	135
83.03	124	64	139
87.29	133	64	143
87.86	133	64	147
82.09	124	64	151
84.06	138	64	155
85.24	138	64	159
88.15	143	64	163
82.5	137	64	166
88.43	149	64	171
84.72	137	64	175
86.57	132	64	179
85.61	141	64	183
82.88	147	64	187
87.46	154	64	191
85.52	134	64	195
82.56	124	64	199
81.66	147	64	203
87.16	146	64	207
84.45	134	64	211
87.9	132	64	215
83.53	135	64	220
83.31	147	64	223
87.79	138	64	227
85.51	143	64	231
82.67	133	64	235
82.09	141	64	239
88.95	137	64	243
83.26	149	64	247
90.32	139	64	251
83.09	139	64	255
85.99	138	64	258
86.35	151	64	263
89.44	144	64	267
81.69	137	64	270
85.51	147	64	274
85.01	163	64	278
88.88	150	64	282
84.37	133	64	286
82.58	136	64	290
83.73	140	64	293
84.16	135	64	297
84.29	162	64	301
88.78	141	64	305
84.24	144	64	308
85.31	148	64	312
84.39	138	64	316
86.74	139	64	320
83.06	130	64	323
85.97	156	64	326
84.85	139	64	331
85.11	133	64	335
84.31	143	64	338
86.34	152	64	342
83.94	148	64	345
81.04	142	64	348
85.6	138	64	353
85.73	152	64	356
83.47	151	64	360
85.14	148	64	364
82.77	134	64	368
85.42	137	64	371
86.89	127	64	375
82.41	152	64	379
84.26	152	64	382
87.88	152	64	386
86.12	137	64	390
84.97	151	64	393
86.61	130	64	397
84.8	144	64	400
83.81	151	64	404
88.37	135	64	409
86.42	154	64	412
85.68	159	64	416
83.55	148	64	419
84.24	127	64	424
85.17	134	64	427
83.62	145	64	431
82.35	150	64	435
82.64	138	64	439
85.63	139	64	443
84.2	159	64	447
86.8	152	64	451
82.29	136	64	455
83.44	129	64	458
86.33	174	64	463
84.37	163	64	467
83.37	136	64	470
86.07	138	64	474
84.58	138	64	478
87	189	64	482
80.43	124	64	486
88.05	141	64	490
81.8	133	64	494
85.72	140	64	498
84.44	132	64	502
87.04	149	64	506
83.71	142	64	510
88.25	153	64	514
83.03	138	64	518
87.57	147	64	522
84.23	133	64	527
85.76	167	64	530
82.42	150	64	534
86.85	161	64	538
83.3	133	64	542
89.12	181	64	547
84.01	136	64	551
87.47	150	64	555
85.47	141	64	559
88.39	193	64	562
83.21	148	64	566
86.64	135	64	571
81.98	135	64	574
86.11	142	64	577
86.07	201	64	582
82.06	139	64	585
83.45	129	64	590
83.29	143	64	593
85.72	174	64	597
87.71	148	64	601
84.67	132	64	605
81.44	136	64	608
86.22	186	64	613
89.83	162	64	617
85.34	139	64	621
87.28	141	64	624
88.31	201	64	629
84.51	174	64	633
84.02	139	64	637
87.06	146	64	641
82.43	139	64	645
85.92	165	64	649
82.64	139	64	653
90.72	154	64	657
84.81	154	64	661
84.55	154	64	665
81.79	154	64	668
89.54	133	64	672
87.8	136	64	676
84.62	159	64	681
84.57	154	64	684
84.01	138	64	688
86.73	135	64	692
85.5	141	64	696
84.54	148	64	700
85.6	126	64	704
85.6	142	64	709
83.08	143	64	713
84.4	160	64	716
82.8	138	64	721
82.06	142	64	725
87.58	142	64	730
85.25	166	64	733
82.7	143	64	737
80.98	140	64	741
85.62	145	64	745
88.29	162	64	749
88.26	151	64	753
81.59	152	64	756
84.62	158	64	761
83.9	169	64	764
87.41	136	64	768
87.44	135	64	772
83.5	165	64	776
85.97	165	64	780
85.12	138	64	784
85.93	146	64	787
86.48	147	64	791
89.06	174	64	796
83.61	144	64	799
90.03	149	64	803
84.24	138	64	807
81.04	151	64	811
88.82	189	64	815
88.9	147	64	819
85.21	139	64	823
84.4	136	64	827
88.03	143	64	831
87.23	144	64	835
84.93	140	64	839
85.34	138	64	843
86.37	153	64	847
86.75	144	64	850
85.06	150	64	854
83.86	137	64	858
85.23	144	64	863
82.44	137	64	866
86.7	143	64	871
86	139	64	874
85.13	145	64	878
85.84	139	64	882
84.73	156	64	887
90.46	140	64	891
81.58	130	64	895
85.27	149	64	899
85.76	165	64	904
84.66	147	64	907
84.71	130	64	912
85.33	159	64	915
82.74	155	64	919
83.5	154	64	923
83.78	139	64	927
89.36	146	64	931
84.53	164	64	935
84.45	156	64	939
81.73	142	64	944
89.79	147	64	947
86.6	170	64	951
85.52	144	64	955
81.86	135	64	958
86.82	156	64	962
91.86	178	64	966
81.46	144	64	969
87.08	132	64	973
84.52	152	64	977
86.08	168	64	981
86.28	137	64	985
83.96	127	64	988
85.96	126	64	992
83.01	157	64	995
87.39	143	64	999
84.68	124	64	1004
86.39	130	64	1007
86.86	136	64	1011
83.59	158	64	1014
83.3	124	64	1018
84.64	131	64	1022
84.5	138	64	1025
87.74	158	64	1030
85.71	137	64	1033
85.9	145	64	1037
85.22	151	64	1040
87.71	147	64	1044
82.4	136	64	1048
86.63	135	64	1051
87.29	150	64	1055
83.56	158	64	1060
84.56	135	64	1063
85.28	144	64	1068
87.66	161	64	1071
86.85	170	64	1075
84.25	136	64	1079
83.4	150	64	1083
89.18	146	64	1086
88.2	169	64	1090
83.92	130	64	1094
84.43	138	64	1098
87.64	144	64	1102
88.99	162	64	1105
84.89	141	64	1109
84.65	138	64	1113
85.22	143	64	1117
83.08	168	64	1120
89.32	143	64	1123
85.74	142	64	1127
84.27	141	64	1130
87.02	142	64	1134
84.88	180	64	1137
84.67	136	64	1142
87.53	131	64	1145
89.01	152	64	1149
85.83	189	64	1153
82.95	127	64	1157
87.02	145	64	1161
83.85	159	64	1164
89.78	200	64	1169
83.82	139	64	1173
86.37	157	64	1177
85.44	147	64	1181
84.98	202	64	1185
86.02	138	64	1189
85.1	149	64	1192
86.4	139	64	1196
87.73	214	64	1200
85.19	139	64	1204
83.71	145	64	1208
83.1	159	64	1211
86.76	212	64	1215
86.14	132	64	1219
88.69	140	64	1223
85.53	168	64	1225
84.97	138	64	1230
85.92	223	64	1234
88.32	135	64	1238
86.02	180	64	1241
82.62	153	64	1245
87.97	228	64	1250
85.63	137	64	1253
92.34	167	64	1257
85.56	157	64	1261
89.02	235	64	1265
82.93	138	64	1269
85.51	176	64	1273
85.08	148	64	1276
87.11	149	64	1281
85.74	138	64	1285
87.51	180	64	1289
82.26	129	64	1293
86.04	154	64	1297
86.29	143	64	1301
88.47	153	64	1305
86.3	136	64	1310
86.49	167	64	1314
84.3	151	64	1318
86.69	167	64	1321
84.87	136	64	1325
83.67	147	64	1329
87.24	158	64	1333
85.38	137	64	1337
86.21	136	64	1340
85.82	150	64	1344
86.92	146	64	1348
86.97	139	64	1352
86.1	146	64	1356
83.72	129	64	1359
82.33	146	64	1363
88.41	133	64	1367
87.63	132	64	1372
84.42	139	64	1375
82.9	149	64	1379
86.24	137	64	1383
81.5	136	64	1387
85.34	143	64	1390
86.28	164	64	1395
86.42	152	64	1399
86.02	144	64	1403
84.25	140	64	1406
88.96	142	64	1409
87.23	173	64	1414
89.4	156	64	1418
84.21	149	64	1421
