Ave Lat	Max Lat	Min Lat	Cycle
69.69	88	44	91
85.1	104	44	105
91.72	108	44	113
92.69	117	44	120
101.97	124	44	125
108.16	128	55	129
110.17	131	64	133
108.39	128	64	137
110.85	139	44	141
109.09	144	44	144
119.31	147	64	147
117.29	148	44	150
120.42	150	44	153
119.43	152	54	156
117.56	152	64	159
121.33	156	64	161
128.11	164	64	164
124.94	166	44	167
131.51	168	53	169
125.67	168	48	172
128.5	170	44	175
131.2	168	67	177
130.47	179	65	180
132.28	176	44	182
133.52	184	66	185
129.59	184	64	187
132.86	188	60	190
131.3	184	64	193
131.67	190	44	195
138.22	196	67	198
132.56	192	69	200
136.58	195	48	202
136.82	194	64	204
133.01	204	47	206
142.71	194	64	208
133.95	193	54	210
136.67	190	64	213
143.39	197	66	215
135.94	199	44	217
138.45	204	72	219
134.51	204	44	222
135.03	208	64	224
144.7	214	64	226
137.31	210	64	228
139.52	195	79	230
136.61	206	63	233
142.25	212	84	235
142.62	216	68	237
140.63	222	64	239
140.52	217	52	242
135.33	225	44	244
140.69	239	44	246
143.9	218	53	248
141.01	210	64	250
143.45	206	87	252
142.69	223	64	254
140.83	215	44	256
141.05	225	48	258
144.02	218	63	261
143.03	227	51	263
139.54	218	52	265
143.03	225	57	267
149.75	238	73	269
143.47	231	68	271
136.52	213	53	273
140.79	215	51	275
144.53	245	64	277
145.09	245	68	279
142	232	64	281
142.1	244	44	284
139.43	238	44	285
142.43	236	44	287
147.58	248	84	289
147.33	216	44	291
143.57	258	59	293
150.16	237	68	295
149.72	239	64	297
140.56	232	68	299
142.08	249	61	301
144.58	236	64	304
143.68	220	44	306
149.32	253	44	308
144.14	251	44	310
147.88	239	64	312
137.88	227	52	314
142.67	245	57	317
149	240	57	319
143.81	234	64	320
142.22	248	44	323
150.24	270	68	325
149.57	238	64	327
148.76	234	75	329
144.21	261	53	331
147.4	256	64	333
144.41	266	63	335
148.87	240	64	337
148.48	257	64	339
150.09	268	64	341
144.96	269	44	343
140.73	269	64	345
149.37	272	64	348
143.03	252	66	349
151.86	237	64	351
144.6	237	52	353
153.58	261	73	355
150.59	240	59	357
147.87	254	44	359
140.9	228	68	362
150.98	238	85	363
147.57	294	44	366
150.35	230	72	367
156.53	250	80	369
146.35	257	68	371
149.8	247	69	373
144.51	278	64	375
141.31	254	64	377
146.74	247	48	379
142.16	269	44	381
150.2	247	64	383
146.8	281	68	385
151.42	251	46	387
154.21	287	64	389
141.47	240	58	391
151.95	218	69	393
152.18	238	64	394
150.49	236	44	397
154.2	291	50	399
146.51	250	48	401
156.12	258	80	403
144.03	275	64	405
150.96	234	75	408
143.69	264	84	410
152.38	263	64	411
143.64	252	64	414
147.13	245	87	416
155.81	274	60	418
149.37	237	59	419
156.5	284	44	421
151.43	275	64	424
153.47	247	64	425
153.5	248	84	427
150.47	229	75	429
147.03	235	64	431
149.48	242	64	433
153.35	240	44	435
142.29	223	44	437
155.77	271	44	439
151.72	281	84	441
145.97	232	64	443
151.16	242	64	445
151.14	267	75	447
150.91	245	77	449
153.52	272	64	451
147.4	291	61	453
151.02	230	64	455
148.87	277	67	457
148.71	276	85	459
147.64	267	44	461
151.24	232	68	463
150.61	279	46	465
153.91	264	73	467
154.78	285	64	469
148.64	260	48	470
