Ave Lat	Max Lat	Min Lat	Cycle
221.3	428	24	441
603.51	841	286	842
988.52	1211	738	1243
1376.34	1623	1098	1644
1777.61	2038	1439	2044
2124.81	2407	1595	2445
2542.12	2820	1964	2846
2962.01	3242	2575	3246
3332.16	3631	2857	3647
3694.02	4038	3338	4048
4072.29	4413	3573	4449
4438.8	4838	3825	4849
4905.05	5234	4181	5250
5261.27	5640	4703	5651
5629.08	6037	5181	6052
6011.39	6392	5322	6453
6368.96	6787	5700	6853
6835.86	7231	6039	7254
7229.98	7620	6618	7655
7560	7998	7034	8056
7964.56	8426	7252	8456
8305.43	8784	7629	8857
8720.54	9226	7919	9258
9142.15	9594	8380	9658
9597.27	10011	8809	10059
9953.68	10432	9212	10460
10287.9	10823	9427	10861
10670.9	11194	9699	11262
11033	11621	10344	11662
11475.9	12039	10645	12063
11903.6	12437	11184	12464
12242	12808	11287	12865
12696.6	13223	11631	13266
13189.4	13659	12673	13667
13585.1	14012	12834	14068
13971.5	14401	13060	14469
14447.5	14857	13635	14870
14870.5	15218	14325	15271
15227.4	15643	14635	15672
15637.1	16028	15059	16073
16082.7	16440	15431	16474
16435.2	16844	15895	16876
16854.1	17225	16382	17277
17285.5	17665	16886	17678
17670.1	18042	17290	18079
18102.5	18422	17501	18481
18466	18812	18046	18884
18920.1	19269	18522	19293
19316.1	19680	18740	19711
19741.4	20080	19289	20122
20108.6	20481	19768	20532
20537.8	20884	20206	20940
20947.1	21277	20510	21353
21374.6	21747	21011	21775
21819.7	22161	21402	22200
22246.3	22570	21879	22624
22655.2	22975	22281	23053
23100.6	23428	22712	23480
23503.2	23837	23082	23905
23956.8	24286	23523	24336
24373.2	24681	23953	24761
24815.1	25166	24388	25191
25226.6	25612	24807	25618
25668.2	25995	25248	26048
26073.2	26416	25546	26475
26541.6	26856	26124	26904
26967.5	27281	26558	27336
27390.8	27690	27042	27765
27812.5	28120	27436	28195
28241.9	28597	27705	28626
28682.8	29018	28304	29062
29125.6	29451	28734	29496
29531.5	29899	29033	29930
30003.8	30351	29628	30368
30420.6	30729	30083	30800
30851.3	31174	30518	31237
31268.1	31616	30816	31672
31729.1	32051	31254	32106
32169.4	32491	31829	32544
32587.8	32881	32167	32976
33038.3	33369	32681	33405
33452.4	33795	33085	33834
33888	34208	33467	34264
34301.4	34649	33956	34696
34742.6	35076	34391	35128
35167.4	35442	34735	35564
35607.7	35948	35241	36000
36058.8	36394	35599	36431
36494.1	36824	36168	36868
36924.8	37274	36576	37304
37352.6	37699	36987	37746
37807.5	38180	37456	38198
38269.3	38621	37844	38648
38722.5	39052	38356	39100
39161	39487	38793	39551
39619.8	39926	39237	40000
40069.7	40409	39678	40451
40520.8	40829	40153	40903
40960.1	41348	40586	41352
41415.2	41773	41034	41806
41870.8	42212	41453	42257
42320.1	42624	42004	42708
42786.6	43113	42333	43161
43216.7	43559	42710	43613
43672.9	44048	43269	44063
44126.5	44412	43732	44515
44592.3	44883	44217	44971
45026.4	45352	44640	45423
45498.1	45801	45092	45874
45943.7	46288	45492	46324
46379.9	46719	46026	46777
46837.6	47186	46420	47234
47307	47610	46890	47692
47761.8	48081	47305	48150
48226	48585	47873	48607
48682.2	48995	48297	49067
49133.4	49440	48751	49528
49590.1	49930	49265	49991
50055.6	50374	49676	50451
50530.2	50858	50164	50919
50988.5	51318	50596	51387
51448.6	51804	51040	51855
51923.7	52293	51497	52322
52369.6	52684	51900	52787
52847.7	53244	52496	53255
53303	53699	52860	53720
53785.3	54137	53432	54183
54246.3	54605	53830	54651
54712.2	55084	54206	55118
55182.3	55538	54812	55595
55673.4	56030	55231	56087
56165.5	56527	55797	56587
56661.2	57026	56244	57087
57163.6	57550	56748	57587
57671	58056	57238	58087
58189.7	58506	57772	58587
58674.2	59028	58249	59087
59168.2	59523	58675	59587
59678.2	60051	59261	60087
60177.4	60552	59662	60626
60707.4	61007	60271	61126
61205.7	61544	60834	61632
61692.1	62079	61358	62147
62225.3	62571	61874	62672
62793.5	63115	62398	63204
63334.8	63681	62929	63739
63851.4	64244	63380	64272
64382.6	64765	63928	64804
64914.8	65285	64508	65339
65434.6	65781	65078	65872
65966.7	66339	65592	66404
66489.8	66926	65977	66959
67100.8	67465	66715	67535
67645.1	68039	67226	68088
68188.4	68567	67827	68627
68718.5	69066	68259	69203
69363.9	69760	68964	69875
70020.7	70531	69528	70556
70714.8	71103	70370	71249
