Ave Lat	Max Lat	Min Lat	Cycle
227.41	436	24	436
623.52	833	397	837
1018.17	1234	792	1238
1410.56	1632	1187	1638
1808.58	2038	1559	2039
2209.25	2427	1973	2440
2602.77	2832	2328	2841
2991.29	3226	2685	3241
3387.77	3639	3069	3642
3784.11	4026	3489	4042
4181.79	4432	3882	4443
4572.37	4814	4236	4844
4980.12	5228	4597	5245
5385.61	5602	5136	5645
5779.85	6035	5482	6046
6174.48	6446	5857	6447
6567.21	6825	6212	6848
6948.72	7224	6580	7248
7361.67	7623	6938	7649
7766.68	8028	7443	8050
8161.68	8442	7786	8451
8544.44	8808	8181	8852
8933.16	9235	8560	9252
9345.65	9619	8920	9653
9742.84	10026	9350	10054
10137.5	10420	9715	10454
10524.9	10821	10024	10855
10915.9	11222	10547	11256
11320.4	11635	10865	11657
11730.3	12044	11387	12057
12133.5	12434	11706	12458
12542	12850	12085	12859
12942.2	13218	12480	13260
13373.5	13652	13048	13661
13764.5	14036	13321	14062
14159.6	14424	13853	14463
14561.6	14820	14002	14864
14984.3	15243	14665	15265
15399	15620	15090	15667
15788.2	16022	15511	16068
16186.9	16431	15863	16469
16581.8	16838	16276	16870
16991.4	17261	16694	17272
17404.3	17643	17062	17673
17812.7	18071	17515	18075
18209.2	18475	17934	18476
18612.1	18858	18293	18877
19018.9	19269	18744	19279
19417.5	19659	19149	19680
19816.3	20068	19553	20081
20219.8	20465	19955	20483
20623.5	20867	20403	20884
21017.1	21255	20784	21285
21428.5	21672	21177	21688
21819.7	22049	21596	22097
22251.2	22511	21986	22518
22671.6	22898	22417	22942
23088.8	23344	22845	23364
23513.2	23755	23274	23781
23936.8	24191	23639	24201
24358.9	24614	24073	24628
24788.1	25042	24551	25057
25213.5	25477	24971	25479
25626.1	25885	25298	25899
26056.1	26293	25789	26319
26475	26704	26252	26740
26888.5	27118	26608	27160
27311	27529	27022	27582
27733.1	27984	27483	28010
28176.9	28431	27932	28448
28611.9	28851	28373	28880
29046.8	29300	28801	29318
29482	29730	29226	29752
29918.9	30159	29689	30186
30352.3	30608	30121	30624
30788.2	31028	30497	31056
31220.3	31441	30962	31490
31655.7	31914	31392	31928
32091	32342	31834	32367
32526.6	32775	32272	32800
32964.7	33208	32703	33238
33403.3	33662	33178	33673
33847.4	34096	33589	34112
34275.5	34522	34012	34551
34711.4	34962	34423	34990
35149	35403	34909	35428
35599.5	35864	35348	35868
36034	36292	35794	36308
36475.9	36728	36208	36750
36916.7	37180	36678	37193
37357.3	37599	37026	37631
37791.2	38057	37534	38071
38239.5	38481	37977	38511
38672.6	38906	38336	38951
39114.8	39365	38831	39394
39564.6	39796	39335	39840
40009.3	40265	39753	40287
40462.7	40726	40168	40740
40911.5	41144	40650	41191
41368.1	41627	41060	41642
41818.5	42057	41539	42095
42263.5	42506	41977	42545
42716.5	42988	42451	42996
43168.4	43423	42882	43446
43620.1	43892	43327	43899
44078.1	44330	43781	44352
44528	44771	44281	44802
44975.2	45216	44688	45256
45431.2	45681	45189	45712
45882.5	46150	45607	46164
46335.7	46598	46067	46616
46789.7	47044	46530	47068
47245	47497	46990	47525
47708.7	47947	47456	47985
48159.5	48430	47921	48443
48614.4	48860	48326	48902
49075.9	49333	48835	49362
49534.8	49787	49245	49824
49996.3	50236	49733	50286
50461.7	50712	50154	50745
50923.9	51191	50636	51205
51375.7	51654	51087	51667
51851.6	52080	51604	52132
52310.3	52578	52028	52600
52777.3	53022	52522	53066
53242.6	53503	53014	53531
53708	53970	53435	53998
54176.9	54435	53913	54464
54639	54889	54407	54930
55108.7	55376	54863	55396
55570.5	55814	55298	55862
56044	56318	55767	56328
56505	56783	56252	56804
56984.7	57256	56657	57292
57492.6	57786	57218	57792
57991.5	58255	57707	58292
58491.7	58772	58163	58792
58996.1	59266	58746	59300
59500.1	59762	59209	59803
60004.1	60287	59709	60303
60494.5	60792	60205	60804
61001.5	61273	60675	61304
61509.7	61788	61230	61809
62011.5	62287	61730	62333
62533.5	62784	62234	62842
63032	63302	62754	63342
63533.3	63823	63279	63849
64066.3	64346	63770	64382
64599.5	64866	64324	64921
65135.8	65431	64849	65454
65676.3	65980	65389	66006
66222.2	66514	65901	66562
66777.9	67082	66469	67110
67339.9	67653	67004	67682
67912.4	68223	67595	68253
68515.1	68868	68149	68898
69179.5	69512	68837	69565
69865.4	70216	69486	70258
70527.6	70896	70185	70905
71198.7	71578	70791	71607
71911.6	72277	71525	72322
72649.6	73033	72177	73069
73427.4	73944	73006	74065
