Ave Lat	Max Lat	Min Lat	Cycle
64.35	79	44	82
82.68	88	69	88
85.47	99	64	100
95.68	104	78	104
101.47	105	84	107
103.85	112	77	112
104.22	114	76	117
111.09	119	80	121
114.94	121	93	124
121.11	124	103	125
120.41	128	94	128
122.45	128	108	130
122.45	132	94	133
123.01	134	100	136
125.56	139	103	140
132.94	140	106	141
134.45	144	107	144
136.1	145	114	145
137.28	148	104	148
138.61	149	115	149
137.78	150	106	151
140.17	152	114	153
141.21	156	114	156
145.18	156	126	157
146.69	159	128	160
150.46	159	111	161
148.92	161	120	163
152.12	164	127	165
153.11	166	121	167
155.26	168	123	168
155.7	168	126	170
157.86	172	126	172
155.65	172	124	173
158.84	176	123	176
161.59	176	127	177
161.06	177	120	179
164.75	179	135	180
164.01	179	128	182
166.38	184	133	184
169.79	184	144	185
168.5	185	139	187
168	188	143	188
171.94	188	112	190
172.34	192	130	192
173.49	190	144	193
174.72	194	136	196
177.22	196	145	197
178.1	198	142	198
179.99	199	143	200
179.97	199	149	201
181.14	201	145	204
184.23	201	152	205
184.46	204	156	207
185.93	206	155	208
184.76	205	153	210
188.92	207	150	212
189.53	208	143	213
190.67	209	145	215
191.22	212	160	216
191.2	214	158	218
196.33	217	171	220
195.06	218	170	221
195.33	217	155	222
198.18	219	148	224
197.74	220	162	225
198.22	219	168	227
199.99	220	169	228
204.1	226	172	230
205.4	225	178	232
205.25	229	173	233
203.56	228	177	235
206.28	231	175	236
208.31	234	171	238
209.98	232	173	240
209.46	234	176	241
210.74	234	176	243
212.61	239	168	244
213.81	237	154	245
214.2	237	181	247
218.2	240	181	248
220.09	241	194	250
218.1	243	168	252
219.54	249	188	253
222.51	246	187	255
220.31	245	186	256
223.08	249	169	258
225.39	256	189	260
227.87	250	200	261
229.35	252	198	263
226.39	260	194	264
228.23	252	196	266
228.77	254	196	268
232.73	257	195	269
233.89	254	206	270
233.6	260	200	272
233.51	257	200	273
235.43	259	198	275
236.89	261	199	277
237.58	260	197	278
238.44	263	206	280
241.04	270	202	281
240.74	271	201	283
243.94	274	208	284
243.67	270	214	286
246.41	268	213	288
245.81	270	214	289
247.68	273	212	291
248.62	278	208	292
250.52	273	212	294
251.63	276	198	296
249.54	278	208	297
251.18	282	201	299
255.63	290	216	300
257.78	288	221	302
258.64	286	213	304
257.71	281	226	305
260.34	290	204	307
260.87	287	215	308
260.46	289	220	309
261.31	293	200	311
262.96	293	218	313
263.7	286	225	314
266.61	297	204	316
266.5	296	229	317
271.14	296	239	320
271.54	296	225	321
268.94	302	219	323
271.17	305	231	324
276.29	306	228	326
272.59	301	224	328
275.96	312	239	329
278.91	310	236	331
277.22	310	232	332
279.83	312	218	333
279.36	311	233	336
281.65	312	239	337
284.59	320	245	339
285.89	320	244	340
286.23	316	238	341
284.66	316	242	343
289.72	330	239	344
290.02	325	261	345
290.92	318	248	348
291.84	324	251	349
292.16	318	244	351
292.94	323	231	352
293.28	323	249	354
297.26	330	239	356
297.41	327	247	357
295.54	326	267	359
297.98	330	258	360
303.56	335	249	362
299.28	335	264	364
303.41	335	253	365
303.35	339	260	367
307.04	336	237	368
305.41	343	248	370
307.77	337	257	372
313.13	350	274	373
309.75	349	276	375
314.87	342	258	376
313.4	344	279	377
311	338	272	380
315.38	352	277	381
315.53	352	260	383
316.27	352	252	384
321.44	353	282	385
321.32	354	281	387
322.63	356	282	388
324.42	364	275	391
320.83	364	265	392
323.69	356	284	393
321.28	353	264	396
328.31	359	264	397
328.12	358	279	398
331.14	359	282	400
331.46	363	282	401
332.41	371	292	403
334.15	371	289	404
333.09	362	285	406
336.48	372	296	408
333.69	362	290	409
334.19	373	281	411
338.91	371	293	412
338.47	377	288	414
340.63	376	293	416
340.39	378	303	417
339.53	381	283	419
344.79	377	302	421
346.86	378	309	422
349.6	386	296	424
345.95	380	310	425
350.12	391	301	427
353.69	384	308	428
354.39	392	304	430
353.32	389	316	432
357.37	394	308	433
354.6	388	290	434
359.05	389	298	436
358.35	394	324	437
362.28	395	304	439
362.96	392	324	440
361.24	397	301	442
362.28	415	319	444
365.77	396	306	445
364.33	401	315	447
363.98	401	323	448
367.51	399	318	450
368.39	406	317	452
365.35	404	309	453
372.28	422	328	456
374.36	411	313	457
374.89	408	313	458
371.55	410	320	460
374.36	412	315	461
376.72	424	327	464
378	420	340	465
379.08	416	321	466
380.03	420	323	468
382.05	417	343	469
380.52	429	327	472
384.93	425	328	473
385.52	421	334	475
383.66	421	342	476
388.55	425	342	477
385.8	438	343	480
392.75	431	345	481
391.2	427	313	482
393.86	432	336	484
393.59	447	339	485
391.93	423	346	487
396.64	430	352	488
398.6	433	358	490
398.35	438	349	492
398.02	436	332	493
398.83	436	348	495
402.25	435	353	496
407.14	446	359	498
408.21	443	353	500
408.02	444	359	501
406.24	443	360	503
408.57	447	358	504
409.81	444	365	505
407.81	444	353	508
411.99	455	346	509
410.26	462	353	511
415.39	453	358	512
414.87	454	339	513
416.08	456	364	515
418.47	457	363	516
417.99	460	365	518
420.92	460	360	520
420.9	451	380	521
420.62	458	367	523
425	472	380	524
421.63	471	362	526
421.67	472	374	528
427.5	469	371	529
429.13	467	377	531
433.22	472	391	533
428.08	470	361	534
429.78	467	376	536
429.33	467	364	537
432.3	472	383	539
435.32	472	395	540
438.28	485	380	542
433.87	478	381	544
442.73	489	396	545
443.54	482	388	547
442.11	487	374	548
443.09	479	390	550
444.13	482	396	552
447.13	483	399	553
446.03	498	390	555
446.82	495	388	556
453.4	497	388	557
448.99	487	400	560
452.13	490	394	561
452.26	486	394	562
453.1	495	383	564
457.66	489	403	565
453.64	493	373	567
458.93	508	410	568
