Ave Lat	Max Lat	Min Lat	Cycle
146.48	389	24	477
397.77	722	106	915
661.05	1095	207	1352
890.08	1481	359	1787
1092.66	1747	416	2216
1326.51	2132	533	2647
1545.44	2580	685	3078
1823.93	2922	805	3514
2067.86	3208	968	3952
2369.38	3610	1085	4388
2527.09	3971	1191	4825
2824.34	4174	1265	5262
2989.03	4749	1407	5702
3298.63	5085	1645	6138
3526.01	5433	1835	6578
3782.12	5573	2086	7014
4022.81	6100	2287	7452
4340.75	6385	2401	7888
4445.69	6721	2647	8325
4779.4	7132	2780	8762
4907.3	7428	2940	9202
5269.56	7856	3213	9638
5415.04	8250	3326	10078
5924.57	8636	3500	10520
